/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
-0.1424 1.710992 0.0290 1.700065 0.0436 1.687340
-0.1374 1.717802 0.0290 1.704373 0.0436 1.688715
-0.1324 1.726272 0.0289 1.710148 0.0435 1.691374
-0.1274 1.736745 0.0289 1.717689 0.0434 1.695566
-0.1224 1.749603 0.0288 1.727325 0.0433 1.701552
-0.1174 1.765271 0.0286 1.739420 0.0432 1.709613
-0.1124 1.784232 0.0285 1.754386 0.0430 1.720062
-0.1074 1.807035 0.0283 1.772700 0.0428 1.733256
-0.1024 1.834313 0.0281 1.794920 0.0425 1.749620
-0.0974 1.866793 0.0279 1.821711 0.0422 1.769676
-0.0924 1.905314 0.0277 1.853870 0.0418 1.794077
-0.0874 1.950841 0.0274 1.892361 0.0414 1.823657
-0.0824 2.004472 0.0270 1.938353 0.0409 1.859494
-0.0774 2.067438 0.0266 1.993252 0.0404 1.902983
-0.0724 2.141092 0.0262 2.058740 0.0397 1.955938
-0.0674 2.226873 0.0257 2.136792 0.0390 2.020697
-0.0624 2.326225 0.0251 2.229665 0.0382 2.100239
-0.0574 2.440468 0.0245 2.339826 0.0373 2.198279
-0.0524 2.570595 0.0239 2.469775 0.0363 2.319278
-0.0474 2.716962 0.0232 2.621711 0.0353 2.468286
-0.0424 2.878881 0.0225 2.796956 0.0341 2.650430
-0.0374 3.054106 0.0218 2.995099 0.0330 2.869844
-0.0324 3.238302 0.0211 3.212859 0.0318 3.127711
-0.0274 3.424599 0.0205 3.442846 0.0307 3.419191
-0.0224 3.603465 0.0199 3.672707 0.0297 3.729533
-0.0174 3.763131 0.0194 3.885406 0.0288 4.031581
-0.0124 3.890697 0.0190 4.061219 0.0281 4.289934
-0.0074 3.973883 0.0188 4.181138 0.0277 4.471389
-0.0024 4.003058 0.0187 4.230421 0.0275 4.553385
 0.0026 3.973027 0.0188 4.201097 0.0276 4.525204
 0.0076 3.884063 0.0190 4.093115 0.0280 4.386087
 0.0126 3.741870 0.0194 3.914298 0.0287 4.145058
 0.0176 3.556492 0.0199 3.679257 0.0296 3.822973
 0.0226 3.340499 0.0206 3.406961 0.0308 3.452438
 0.0276 3.106949 0.0215 3.117299 0.0323 3.070155
 0.0326 2.867671 0.0225 2.827693 0.0339 2.705594
 0.0376 2.632192 0.0235 2.551031 0.0358 2.375643
 0.0426 2.407352 0.0247 2.295279 0.0378 2.086840
 0.0476 2.197456 0.0260 2.064248 0.0399 1.839321
 0.0526 2.004722 0.0273 1.858779 0.0421 1.629585
 0.0576 1.829823 0.0286 1.677845 0.0443 1.452738
 0.0626 1.672388 0.0300 1.519413 0.0466 1.303661
 0.0676 1.531415 0.0314 1.381024 0.0489 1.177575
 0.0726 1.405565 0.0329 1.260162 0.0512 1.070315
 0.0776 1.293370 0.0343 1.154434 0.0535 0.978410
 0.0826 1.193360 0.0357 1.061687 0.0558 0.899034
 0.0876 1.104140 0.0372 0.980046 0.0581 0.829932
 0.0926 1.024431 0.0386 0.907902 0.0603 0.769313
 0.0976 0.953084 0.0400 0.843893 0.0626 0.715766
 0.1026 0.889083 0.0415 0.786874 0.0648 0.668168
 0.1076 0.831536 0.0429 0.735885 0.0670 0.625629
 0.1126 0.779666 0.0443 0.690121 0.0692 0.587440
 0.1176 0.732799 0.0457 0.648908 0.0713 0.553027
 0.1226 0.690352 0.0470 0.611679 0.0734 0.521922
 0.1276 0.651817 0.0484 0.577956 0.0755 0.493737
 0.1326 0.616757 0.0498 0.547332 0.0776 0.468153
 0.1376 0.584791 0.0511 0.519461 0.0797 0.444895
 0.1426 0.555586 0.0524 0.494045 0.0817 0.423733
 0.1476 0.528855 0.0537 0.470828 0.0837 0.404464
 0.1526 0.504344 0.0550 0.449586 0.0856 0.386910
 0.1576 0.481831 0.0562 0.430123 0.0875 0.370913
 0.1626 0.461121 0.0574 0.412268 0.0894 0.356332
 0.1676 0.442041 0.0586 0.395868 0.0912 0.343037
 0.1726 0.424438 0.0598 0.380787 0.0929 0.330910
 0.1776 0.408177 0.0610 0.366906 0.0947 0.319841
 0.1826 0.393135 0.0621 0.354113 0.0963 0.309731
 0.1876 0.379206 0.0632 0.342312 0.0980 0.300486
 0.1926 0.366291 0.0643 0.331414 0.0995 0.292022
 0.1976 0.354304 0.0653 0.321340 0.1010 0.284260
 0.2026 0.343165 0.0663 0.312015 0.1025 0.277129
 0.2076 0.332804 0.0673 0.303373 0.1039 0.270565
 0.2126 0.323157 0.0682 0.295356 0.1053 0.264509
 0.2176 0.314165 0.0692 0.287909 0.1066 0.258909
 0.2226 0.305776 0.0701 0.280982 0.1079 0.253719
 0.2276 0.297942 0.0709 0.274531 0.1091 0.248898
 0.2326 0.290620 0.0718 0.268516 0.1103 0.244410
 0.2376 0.283768 0.0726 0.262900 0.1115 0.240222
 0.2426 0.277352 0.0734 0.257650 0.1126 0.236307
 0.2476 0.271339 0.0741 0.252735 0.1136 0.232639
 0.2526 0.265697 0.0748 0.248130 0.1146 0.229197
 0.2576 0.260400 0.0756 0.243809 0.1156 0.225961
 0.2626 0.255422 0.0762 0.239749 0.1166 0.222915
 0.2676 0.250740 0.0769 0.235932 0.1175 0.220043
 0.2726 0.246333 0.0775 0.232338 0.1184 0.217333
 0.2776 0.242182 0.0782 0.228950 0.1192 0.214772
 0.2826 0.238268 0.0788 0.225755 0.1201 0.212349
 0.2876 0.234574 0.0793 0.222737 0.1209 0.210053
 0.2926 0.231087 0.0799 0.219885 0.1216 0.207877
 0.2976 0.227792 0.0804 0.217187 0.1223 0.205812
 0.3026 0.224676 0.0809 0.214632 0.1231 0.203851
 0.3076 0.221728 0.0814 0.212212 0.1237 0.201987
 0.3126 0.218936 0.0819 0.209916 0.1244 0.200214
 0.3176 0.216291 0.0824 0.207738 0.1250 0.198527
 0.3226 0.213782 0.0828 0.205670 0.1257 0.196920
 0.3276 0.211403 0.0832 0.203704 0.1262 0.195389
 0.3326 0.209144 0.0837 0.201835 0.1268 0.193929
 0.3376 0.206998 0.0841 0.200056 0.1274 0.192536
 0.3426 0.204958 0.0845 0.198363 0.1279 0.191207
 0.3476 0.203019 0.0848 0.196750 0.1284 0.189938
 0.3526 0.201174 0.0852 0.195213 0.1289 0.188725
 0.3576 0.199417 0.0855 0.193747 0.1294 0.187566
 0.3626 0.197744 0.0859 0.192349 0.1298 0.186458
 0.3676 0.196150 0.0862 0.191014 0.1303 0.185397
 0.3726 0.194630 0.0865 0.189739 0.1307 0.184382
 0.3776 0.193180 0.0868 0.188521 0.1311 0.183411
 0.3826 0.191797 0.0871 0.187357 0.1315 0.182480
 0.3876 0.190476 0.0874 0.186244 0.1319 0.181588
 0.3926 0.189215 0.0876 0.185179 0.1323 0.180733
 0.3976 0.188010 0.0879 0.184161 0.1327 0.179913
 0.4026 0.186858 0.0882 0.183185 0.1330 0.179127
 0.4076 0.185756 0.0884 0.182251 0.1333 0.178372
 0.4126 0.184702 0.0886 0.181356 0.1337 0.177647
 0.4176 0.183694 0.0889 0.180498 0.1340 0.176952
 0.4226 0.182729 0.0891 0.179676 0.1343 0.176284
 0.4276 0.181804 0.0893 0.178887 0.1346 0.175642
 0.4326 0.180919 0.0895 0.178130 0.1348 0.175025
 0.4376 0.180070 0.0897 0.177404 0.1351 0.174431
 0.4426 0.179256 0.0899 0.176707 0.1354 0.173861
 0.4476 0.178476 0.0901 0.176038 0.1356 0.173312
 0.4526 0.177728 0.0902 0.175395 0.1359 0.172784
 0.4576 0.177010 0.0904 0.174777 0.1361 0.172276
 0.4626 0.176321 0.0906 0.174184 0.1363 0.171786
 0.4676 0.175659 0.0907 0.173613 0.1366 0.171315
 0.4726 0.175024 0.0909 0.173064 0.1368 0.170861
 0.4776 0.174413 0.0910 0.172536 0.1370 0.170423
 0.4826 0.173827 0.0912 0.172028 0.1372 0.170002
 0.4876 0.173263 0.0913 0.171539 0.1374 0.169595
 0.4926 0.172721 0.0915 0.171069 0.1376 0.169204
 0.4976 0.172200 0.0916 0.170616 0.1377 0.168826
 0.5026 0.171698 0.0917 0.170179 0.1379 0.168461
 0.5076 0.171216 0.0918 0.169759 0.1381 0.168109
 0.5126 0.170752 0.0919 0.169354 0.1382 0.167770
 0.5176 0.170305 0.0921 0.168963 0.1384 0.167442
 0.5226 0.169875 0.0922 0.168587 0.1386 0.167126
 0.5276 0.169460 0.0923 0.168224 0.1387 0.166820
 0.5326 0.169061 0.0924 0.167874 0.1388 0.166525
 0.5376 0.168676 0.0925 0.167536 0.1390 0.166239
 0.5426 0.168305 0.0926 0.167211 0.1391 0.165964
 0.5476 0.167948 0.0927 0.166896 0.1392 0.165697
 0.5526 0.167603 0.0928 0.166593 0.1394 0.165440
 0.5576 0.167271 0.0928 0.166300 0.1395 0.165191
 0.5626 0.166950 0.0929 0.166017 0.1396 0.164950
 0.5676 0.166641 0.0930 0.165743 0.1397 0.164717
 0.5726 0.166343 0.0931 0.165479 0.1398 0.164492
 0.5776 0.166055 0.0932 0.165224 0.1399 0.164274
 0.5826 0.165777 0.0932 0.164978 0.1400 0.164063
 0.5876 0.165508 0.0933 0.164740 0.1401 0.163858
 0.5926 0.165249 0.0934 0.164509 0.1402 0.163661
 0.5976 0.164998 0.0934 0.164286 0.1403 0.163469
 0.6026 0.164756 0.0935 0.164071 0.1404 0.163284
 0.6076 0.164522 0.0936 0.163863 0.1405 0.163104
 0.6126 0.164296 0.0936 0.163661 0.1406 0.162930
 0.6176 0.164078 0.0937 0.163466 0.1407 0.162761
 0.6226 0.163866 0.0938 0.163277 0.1408 0.162598
 0.6276 0.163662 0.0938 0.163094 0.1408 0.162439
 0.6326 0.163464 0.0939 0.162917 0.1409 0.162286
 0.6376 0.163273 0.0939 0.162746 0.1410 0.162137
 0.6426 0.163088 0.0940 0.162580 0.1411 0.161993
 0.6476 0.162909 0.0940 0.162419 0.1411 0.161853
 0.6526 0.162736 0.0941 0.162263 0.1412 0.161717
 0.6576 0.162568 0.0941 0.162112 0.1413 0.161585
 0.6626 0.162406 0.0941 0.161966 0.1413 0.161457
 0.6676 0.162248 0.0942 0.161824 0.1414 0.161333
 0.6726 0.162096 0.0942 0.161687 0.1414 0.161212
 0.6776 0.161948 0.0943 0.161554 0.1415 0.161096
 0.6826 0.161805 0.0943 0.161424 0.1416 0.160982
 0.6876 0.161667 0.0944 0.161299 0.1416 0.160872
 0.6926 0.161533 0.0944 0.161178 0.1417 0.160765
 0.6976 0.161402 0.0944 0.161060 0.1417 0.160661
 0.7026 0.161276 0.0945 0.160945 0.1418 0.160560
 0.7076 0.161154 0.0945 0.160834 0.1418 0.160462
 0.7126 0.161035 0.0945 0.160726 0.1419 0.160366
 0.7176 0.160920 0.0946 0.160622 0.1419 0.160274
 0.7226 0.160808 0.0946 0.160520 0.1420 0.160184
 0.7276 0.160700 0.0946 0.160421 0.1420 0.160096
 0.7326 0.160595 0.0947 0.160326 0.1420 0.160011
 0.7376 0.160493 0.0947 0.160233 0.1421 0.159928
 0.7426 0.160394 0.0947 0.160142 0.1421 0.159848
 0.7476 0.160298 0.0947 0.160054 0.1422 0.159769
 0.7526 0.160205 0.0948 0.159969 0.1422 0.159693
 0.7576 0.160114 0.0948 0.159886 0.1422 0.159619
 0.7626 0.160026 0.0948 0.159806 0.1423 0.159547
 0.7676 0.159940 0.0948 0.159727 0.1423 0.159477
 0.7726 0.159857 0.0949 0.159651 0.1423 0.159409
 0.7776 0.159777 0.0949 0.159577 0.1424 0.159343
